Number of elements: 2167 
Elements name, Alias, Datatype, Variable group name, Initial value, type of element, comment 
DEVICE1.FBU_LD.PROG1.__TESTP,__TESTP,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.__OPNK,__OPNK,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H625D,H625D,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.__OND2,__OND2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H6242,H6242,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H6253,H6253,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.__VDND1,__VDND1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H624C,H624C,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XRKAC,’– AC,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.__OUDM,__ŒUDM,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.SVKSNA,S¬ —Õ¿,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.STREVOG,S“–≈¬Œ√,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.__TREV,__TREV,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.H6231,H6231,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X061_35,’061_35,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X061_24,’061_24,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X061_13,’061_13,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X061_5,’061_5,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X065_1,’065_1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X064_27,’064_27,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YVBYD2M,”¬¡”ƒ2Ã,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X064_16,’064_16,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X064_2,’064_2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X060_34,’060_34,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X060_23,’060_23,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X060_12,’060_12,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X060_6,’060_6,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YPOZ2P,”œŒ«2œ,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X051_25,’051_25,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YVKLD3,”¬ Àƒ3,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YGOTDO,”√Œ“ƒŒ,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X050_35,’050_35,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YDND4,”ƒÕƒ4,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X050_24,’050_24,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X050_13,’050_13,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XRD1D2R,’–ƒ1ƒ2–,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XRD2D1R,’–ƒ2ƒ1–,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YOKYBXP2,”Œ ”¡’œ2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YOKYDK4,”Œ ”ƒ 4,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YNGD5R,”Õ√ƒ5–,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YNGD4,”Õ√ƒ4,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YONGD1,”ŒÕ√ƒ1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XBNG,’¡Õ√,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X044_29,’044_29,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YKYD1R,” ”ƒ1–,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X034_19,’034_19,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X031_2,’031_2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X028_40,’028_40,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YPTM2,”œ“Ã2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XSZRY1,’—«–”1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XRPZY1,’–œ«”1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X022_29,’022_29,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YZRRYBYTM,”«––”¡”“Ã,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X021_1,’021_1,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YNK4B,”Õ 4¡,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X020_27,’020_27,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XNK3B,’Õ 3¡,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YNK3A,”Õ 3¿,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XNK2A,’Õ 2¿,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X020_2,’020_2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X018_30,’018_30,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YKOBI,” Œ¡»,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.Y2,”2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X012_19,’012_19,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X011_18,’011_18,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X011_29,’011_29,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.XB,’¡,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YMPIT2,”Ãœ»“2,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.YVIP1M,”¬»œ1Ã,BOOL,,,1,0,""
DEVICE1.FBU_LD.PROG1.X3KY59,’3 ”59,BOOL,,,1,0,""
