Source variable,Destination variable,Source member,Destination member,Element location
DEVICE1.FBU_LD.PROG1.X5KY0D,DEVICE1.FBU_LD.PROG1.ZMSK1,,,"<LD>,(DEVICE1,FBU_LD,PROG1):31:(1,90),READING FROM,,DEVICE1.FBU_LD.PROG1.ZMSK1,,(0:0),103,0,0,"
DEVICE1.FBU_LD.PROG1.X5KY0D,DEVICE1.FBU_LD.PROG1.ZMSK2,,,"<LD>,(DEVICE1,FBU_LD,PROG1):34:(1,98),READING FROM,,DEVICE1.FBU_LD.PROG1.ZMSK2,,(0:0),111,0,0,"
DEVICE1.FBU_LD.PROG1.X5KY22,DEVICE1.FBU_LD.PROG1.ZSPY,,,"<LD>,(DEVICE1,FBU_LD,PROG1):57:(1,157),READING FROM,,DEVICE1.FBU_LD.PROG1.ZSPY,,(0:0),174,0,0,"
DEVICE1.FBU_LD.PROG1.ZSTSPY,DEVICE1.FBU_LD.PROG1.YSTSPY,,,"<LD>,(DEVICE1,FBU_LD,PROG1):533:(1,1245),READING FROM,,DEVICE1.FBU_LD.PROG1.YSTSPY,,(0:0),1398,0,0,"
DEVICE1.FBU_LD.PROG1.Z1P,DEVICE1.FBU_LD.PROG1.Y1P1_2TM,,,"<LD>,(DEVICE1,FBU_LD,PROG1):837:(1,1889),READING FROM,,DEVICE1.FBU_LD.PROG1.Y1P1_2TM,,(0:0),2135,0,0,"
DEVICE1.FBU_LD.PROG1.ZRASO,DEVICE1.FBU_LD.PROG1.YRASOTM,,,"<LD>,(DEVICE1,FBU_LD,PROG1):809:(1,1833),READING FROM,,DEVICE1.FBU_LD.PROG1.YRASOTM,,(0:0),2065,0,0,"
DEVICE1.FBU_LD.PROG1.ZRASO,DEVICE1.FBU_LD.PROG1.__VKRASO,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1587:(2,3550),READING FROM,,DEVICE1.FBU_LD.PROG1.__VKRASO,,(0:0),4119,0,0,"
DEVICE1.FBU_LD.PROG1.XON,DEVICE1.FBU_LD.PROG1.ZONBY,,,"<LD>,(DEVICE1,FBU_LD,PROG1):117:(1,314),READING FROM,,DEVICE1.FBU_LD.PROG1.ZONBY,,(0:0),381,0,0,"
DEVICE1.FBU_LD.PROG1.XON,DEVICE1.FBU_LD.PROG1.ZON,,,"<LD>,(DEVICE1,FBU_LD,PROG1):119:(1,320),READING FROM,,DEVICE1.FBU_LD.PROG1.ZON,,(0:0),389,0,0,"
DEVICE1.FBU_LD.PROG1.XON,DEVICE1.FBU_LD.PROG1.YNK3A,,,"<LD>,(DEVICE1,FBU_LD,PROG1):776:(3,1763),READING FROM,,DEVICE1.FBU_LD.PROG1.YNK3A,,(0:0),1973,0,0,"
DEVICE1.FBU_LD.PROG1.XON,DEVICE1.FBU_LD.PROG1.YNK3B,,,"<LD>,(DEVICE1,FBU_LD,PROG1):779:(2,1770),READING FROM,,DEVICE1.FBU_LD.PROG1.YNK3B,,(0:0),1983,0,0,"
DEVICE1.FBU_LD.PROG1.YPPK22_1,DEVICE1.FBU_LD.PROG1.ZPK2BXP2,,,"<LD>,(DEVICE1,FBU_LD,PROG1):153:(1,400),READING FROM,,DEVICE1.FBU_LD.PROG1.ZPK2BXP2,,(0:0),489,0,0,"
