Number of elements: 2224 
Elements name, Alias, Datatype, Variable group name, Initial value, type of element, comment 
S1,,,,,1,8,""
11,,,,,1,8,""
3,,,,,1,8,""
DEVICE1.FBU_SFC_LD.FBU_LD.__OPNK,__OPNK,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__V1REK,__V1REK,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__OND2,__OND2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRKA9,’– A9,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__OUDM,__ŒUDM,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__ATOBDO,__ATOBDO,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__ATVKSNA,__ATVKSNA,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.SVKSNA,S¬ —Õ¿,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__ATTREV,__ATTREV,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD._ZTREVBY,_Z“–≈¬¡”,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__TREV,__TREV,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.SRRY,S––”,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__ATTEN,__ATTEN,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X061_33,’061_33,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X061_11,’061_11,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X061_5,’061_5,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X065_1,’065_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X064_36,’064_36,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X064_25,’064_25,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X064_14,’064_14,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X064_2,’064_2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X060_32,’060_32,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YVBYP210,”¬¡”œ210,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YOBY4,”Œ¡”4,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X060_6,’060_6,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X057_29,’057_29,BOOL,,,1,0,""
